Unnamed: 0,Customer Name,Review Rating,Review Title,Review Content,Product Name,polarity
0,Aman More,4.0 out of 5 stars,A good daily driver.,pros1 clean bloatfree oxygenos runs smooth come2 amoled screen 90hz refresh rate really go along make display average3 battery life decent last day normal usage4 sound quality good modestly loud drawback cons5 design actually fits hand well shorter usual breadth bit length better viewing experience6 gaming performance average similar phones range better gaming performances7 phone looks feels premium using8 alert slider makes convenient switch different modes9 face unlock fast oneplus phones fastcons1 camera good expected macro lens pretty useless main camera lacks depth colors arent vibrant oneplus 8 bit much beautification selfie shots 4k video recording 60fps absent 108060fps performance quite good camera better phones isnt promised2 headphone jack3 mono speaker bottom right phone tends get covered hand using also one side phone audio isnt well delivered stereo speaker4 expandable memory slot5 plastic frame doesnt look like plastic worrying thing makes phone comparatively less durable6 fingerprint scanner screen isnt quick traditional fingerprint scanner backrecommendation youre looking phone delivers high performance smooth interface daily use go itbut prime purpose gaming better options availablealso youre expecting flagship camera performance might want consider phones pixel 4a release thats far better probablyupdate pixel 4a camera surely much better nords camera,"OnePlus Nord 5G (Blue Marble, 8GB RAM, 128GB Storage)",0.21564993564993568
1,Abhishek Agarwal,3.0 out of 5 stars,Bad bad camera,often leave critical review product excited new oneplus nord got delivered earlier today ahead time still exploring phone one aspect complete let camera pics clicked grainy cool must say oneplus guys really turned time like honestly phones days look feel alike camera one aspect sets winners apart ordinary phonesi dont know guys expected team oneplusthis poco f1 purchased 2 years back returned 10 times better pics since cant return item im going live upgrade sorry negative review,"OnePlus Nord 5G (Blue Marble, 8GB RAM, 128GB Storage)",0.08318181818181816
2,Kiran KS,4.0 out of 5 stars,The original segment of One Plus,battery usage update drains faster one plus modelsso ones travelling frequently might ideal phonefast charging relief ones access charging pointmorning night usage possible moderate slightly heavy usagebottomline good entry phone never experienced one plus ones budget constraints others one plus 8tlighter pro model 180 gms would ideal bring 120hz refresh rate maybe wireless charging tooand afford dont mind heavy phone200 gms one plus 8 pro 8t pro would ideal onesas per amazon reviews users reporting display issues 8 pro 8t pro hopefully better model still use 7t pro provides best one plus experienceinitial impressionsno tint issue widely reportedsmooth given 12gb ram 90hz refresh ratelighter pro model still feels sturdycamera quality par top model one plus devices case outdoor pictures indoorlow light pictures goodnot fan punch hole cameraswould preferred full screen pop insteadbattery usage needs tested seems ok,"OnePlus Nord 5G (Blue Marble, 8GB RAM, 128GB Storage)",0.3441176470588236
3,Nikhil,5.0 out of 5 stars,*Read before you buy!!*,yeapreordered 28 july got 4 august package nice without damage first impression display nice 90 hz refresh rate feels nice smoothcamera okay upto markmacro lens depth sensor back crap wide angle okay images smooth without crispness60 fps video recording 4k rear cam present front cam dont know thatpremium userexperienceface unlock indisplay fingerprint goodphone lacks true premium feel due plastic framethe signature slide button delivers good experienceokay feel need 5g chipset futureproof definitely go want flagship perfomance go k20 pro oneplus 7t wont good choice heavy users still good experience regards games shortruncod high graphics frame rate ran smooth without sudden frame drops got overclocked gpu stilli satisfied got hereupdatedexcellent charging speedthanks warp charge 10 100 less hourbattery backup good daily users lasts almost dayno serious heating issues allthis midrange phoneone best expect monster perfomance itone best choice dailydriver heavy perfomance priority,"OnePlus Nord 5G (Blue Marble, 8GB RAM, 128GB Storage)",0.2667241379310345
4,Deblina Roy,2.0 out of 5 stars,Disappointing,heavily disappointed much hype camera even upto mark grainy pictures looks like applied kind filter selfies way undo haptic feedback good however several bugs phone hoping get fixed update also dont panic nitpick screen quality looks great mebut dont fall marketing gimmick oneplus promised something extraordinary failed also several troubles registering phone red cable club several attempts complaint customer care solved,"OnePlus Nord 5G (Blue Marble, 8GB RAM, 128GB Storage)",0.09102564102564101
5,Amit,5.0 out of 5 stars,Near to mid range  Perfection,got delivered yesterday used 56 hours tell first mid ranger previously using s9 plus s7 edge iphones stone age first one plus mid ranger assure less flagship experience forget bout negative reviews device perfect one looks power performance dont know useful 5g modem cares thats baggage consider nowcamera unit also awesome perfoms well remember bloat free advt free experience oxygen os cons yet discoverenjoy nord,"OnePlus Nord 5G (Blue Marble, 8GB RAM, 128GB Storage)",0.24722222222222223
6,Sreeram,1.0 out of 5 stars,Totally dissatisfied. No AR support.,bought phone augmented reality purpose even launched caption world first ar launching nord supporting augmented reality damn fooled one plus totally disappointed long wait 500 rupees wasted prelaunchar must technology 2020phones even 10k phones giving better supportwhy one plus released skull without brain return worthless waste time,"OnePlus Nord 5G (Blue Marble, 8GB RAM, 128GB Storage)",-0.125
7,aishwarya,5.0 out of 5 stars,Great price!,amazing phonegot delivered today also received red cable membership unexpectedformally one plus comparison one couldve lot betterthe silicone case came however horrible smell wash using phonecamera couldve little betterthe touch smooth one plus phonesfast hellcolors vibrantdoes notification led earphone jackthe grey attractive blue betterwill update display issues claims many months time,"OnePlus Nord 5G (Blue Marble, 8GB RAM, 128GB Storage)",0.11805555555555558
8,Sudeshna Dey,1.0 out of 5 stars,Bad front camera,front camera bad low light photo also bad need update camera section worst camera also excited product like everyone else going one plus brand u r investing 28k mobile satisfy basic average needs least camera quality average 1 rating giving otherwise features good,"OnePlus Nord 5G (Blue Marble, 8GB RAM, 128GB Storage)",-0.13863636363636356
9,Rahul,4.0 out of 5 stars,Good phone,prosmooth os lags allamoled screen good quality screenprivacy useless apps like found chinese phonesall pros would expect specs deviationsconnot metal framecpu slower compared current 865 flagships expecetdnote releived display fine low brightness read users sharing green tint issue face yet update reviews case issues,"OnePlus Nord 5G (Blue Marble, 8GB RAM, 128GB Storage)",0.05952380952380953
